id,scientificName,commonName,classification,etymology,environment,depthRange,usualRange,distributionRangeName,distributionRangeCoordinates,distributionDescription,sizeRange,maxLength,commonLength,maxWeight,maxAge,biologyInfo,lifeAndMateInfo,redListStatus,dorsalSpines,dorsalSoftRays,analSpines,analSoftRays,vertebrae,shortDescription,threatToHumans,preferredTemperatureMin,preferredTemperatureMean,preferredTemperatureMax,cellsBasedOn,phylogeneticDiversity,bayesianLengthWeightA,bayesianLengthWeightB,resilience,priorR,vulnerability,priceCategory,source
0,Abra alba,white furrow shell,Bivalvia > Veneroida > Semelidae,,"Benthic, brackish",0--521,,Temperate,,"Western Indian Ocean, Northeast Atlantic and the Mediterranean.  Subtropical.",?--?,2.5,,,,"Species' maximum length from the Belgian part of the North Sea . Inhabit sandbanks and inshore areas .  Common in near-coastal zone, rarely further than 30 km off the coast.  Found buried deep in almost all sediment  types but prefer fine-grained to muddy substrates; rare in coarse substrates.  Feeds through its long, individually separated and stretchable siphons .  Known as a surface deposit feeder (Refs. 96214, 96292). Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,6.7,8.8,13.1,495,,,,,,Low vulnerability (10 of 100),Unknown,ca
1,Abralia veranyi,eye-flash squid,Cephalopoda > Teuthida > Enoploteuthidae,,Pelagic,1--900,,Tropical,"65N--  31S, 98W--  37E",Atlantic Ocean and the Mediterranean Sea.,?--?,4,,,,"Pelagic.  Carries out vertical daily migrations .  At bottom in bathyal and in midwater above slopes, occasionally to surface at night time .  Exhibits counterillumination, a common form of crypsis in the open ocean (Ref. 106088 ).  Feeds on plankton accumulated around lights at night over deep reef . Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults .","Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults.", Least Concern (LC),,,,,,,,6.6,11.6,19.7,775,,,,,,Low vulnerability (10 of 100),Medium,ca
2,Abraliopsis pfefferi,Pfeffer's enope squid,Cephalopoda > Teuthida > Enoploteuthidae,,Pelagic,1--750,,Tropical,,"Atlantic Ocean:  Madeira, Namibia and the High Seas.",?--?,7,,,,"Minimum depth from Ref. 110525. Mesopelagic . Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults .","Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults.",Not Evaluated,,,,,,,,10.5,14.1,16,269,,,,,,Low vulnerability (10 of 100),Medium,ca
3,Abylopsis tetragona,,Hydrozoa > Siphonophorae > Abylidae,,Pelagic,0--200,,Subtropical,,"Pacific Ocean, Atlantic Ocean, Antarctic and the Mediterranean.  Tropical and subtropical.",?--?,,,,,This is an epipelagic species found in the water column . Species listed only in medusoid stage .,"Species listed only in medusoid stage (Ref. 1663, p. 32).",Not Evaluated,,,,,,,,7.3,24.3,28.3,1876,,,,,,,Unknown,ca
4,Acanthocardia aculeata,spiny cockle,Bivalvia > Veneroida > Cardiidae,,Benthic,5--25,,Temperate,,"Northeast Atlantic and the Mediterranean:  from Celtic and Lusitanian provinces, extending into the Mediterranean.",,,,,,"Depth based on occurrence ; to be replaced with better reference.  Minimum depth from Ref. 2703.  Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,"Shell:  solid, convex valves, equivalve and inequilateral, roughly oval in shape, uniformly deep yellow brown in color; sculpture consists of 20-22 well-developed ribs, with triangular spikes along the mid-line, in between are very marked concentric grooves; external ligament behind the umbones, hinge is heterodont; inside the valves are two identical scars (dimyarian and isomyarian) joined by a continuous pallial line, lacking a sinus  Body:  foot is roughly cylindrical, well developed and used for leaping on the sand; distal extremity is bright red.",,8.5,17.8,21.3,884,,,,,,Low vulnerability (10 of 100),Low,ca
5,Acanthocardia echinata,European prickly cockle,Bivalvia > Veneroida > Cardiidae,,Benthic,0--619,,Subtropical,"72N--  27N, 28W--  36E","Eastern Atlantic and the Mediterranean Sea:  from Iceland, Norway, Sweden, south to Morocco, Madeira Island and Canary Islands, and the Mediterranean.",?--?,,,,,"Inhabits  fine sand .  This is a sessile-burrower suspension feeder .  Feeds on phytoplankton and suspended organic material . Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,6.8,9.7,14.2,503,,,,,,,Low,ca
6,Acanthocardia paucicostata,poorly ribbed cockle,Bivalvia > Veneroida > Cardiidae,,Benthic,0--25,,Temperate,,Northeast Atlantic and the Mediterranean.,?--?,3.6,,,,"Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,16,18.9,21.8,558,,,,,,Low vulnerability (10 of 100),,ca
7,Acanthocardia spinosa,sand cockle,Bivalvia > Veneroida > Cardiidae,,Benthic,2--60,,Temperate,"46N--  30N, 18W--  37E",Eastern Atlantic and the Mediterranean.  Subtropical.,?--?,,,,,"Maximum depth from Ref. 106813. Found on muddy sand with seaweed at a depth of 60 m .  In general, suspension feeding bivalves mainly depend on phytoplankton and detritus material for nutrition . Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,Harmless,15.3,18.7,21.5,144,,,,,,,Low,ca
8,Acanthocardia tuberculata,Moroccan cockles,Bivalvia > Veneroida > Cardiidae,,Benthic,0--100,,Subtropical,"59N--  7S, 26W--  36","Northeast Atlantic and the Mediterranean:  Portugal to Syria, UK, North Sea to Morocco.",?--?,7.7,,,,"Found in fine and well sorted sand (Refs. 2723, 2780).  An active suspension-feeder  and deposit-feeder . Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,8,11.4,20.7,812,,,,,,Low vulnerability (10 of 100),Low,ca
9,Acanthochitona fascicularis,,Polyplacophora > Chitonida > Acanthochitonidae,,Benthic,0--50,,Temperate,,Mediterranean and Atlantic Ocean.,?--?,2.6,,,,"Substrate consist of red alga Lithophyllum incrustans (Ref. 615, page 105). Members of the class Polyplacophora are mostly gonochoric.  Life cycle:  Eggs hatch into lecitotrophic planktonic trocophore larvae (no veliger stage) which later metamorphose and settle on the bottom as young adults .",Members of the class Polyplacophora are mostly gonochoric.  Life cycle:  Eggs hatch into lecitotrophic planktonic trocophore larvae (no veliger stage) which later metamorphose and settle on the bottom as young adults.,Not Evaluated,,,,,,,,8.9,11.3,20.1,358,,,,,,Low vulnerability (10 of 100),Unknown,ca
10,Acanthocybium solandri,Wahoo,"Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Scombridae  (Mackerels, tunas, bonitos) > Scombrinae","Acanthocybium: Greek, akantha = thorn + Greek, kybion. -ou = a tunna .","Marine, pelagic-oceanic, oceanodromous ",0--20,0--12,Subtropical,"59N--  48S, 180W--  180E","Atlantic, Indian and Pacific Oceans:  in tropical and subtropical waters, including the Caribbean and Mediterranean seas.",85-- 105,250,170,83,,"An oceanic, epipelagic species frequently solitary or forming small loose aggregations rather than compact schools.  Feed on fishes and squids. Eggs and larvae are pelagic.   An important sport fish in some areas.  Marketed fresh, salted or spice-cured slices of meat; also frozen.  Flesh of very good quality. Minimum depth from Ref. 005227.",Spawning seems to extend over a long period; fish in different maturity stages are frequently caught at the same time.,Least Concern (LC) ; Date assessed:  25 September 2010,23--27,12--16,0,12--14,62--64," Mouth large with strong, triangular, compressed and finely serrate teeth  Snout about as long as the rest of head  Posterior part of maxilla completely concealed under preorbital bone  Gill rakers absent  Interpelvic process small and bifid  Swim bladder present  Body covered with small scales  No anterior corselet developed  The back is iridescent bluish green; the sides silvery with 24 to 30 cobalt blue vertical bars which extend to below the lateral line.",Reports of ciguatera poisoning (Ref.  30298 ),18.2,24.7,27.6,46871,1,0.00288,3.16,"Medium, minimum population doubling time 1.4 - 4.4 years (K=0.34; tm=1-2 y; tmax >4; Fec=6 million).",0.57,Moderate to high vulnerability (46 of 100) .,Very high,de
11,Acanthodasys aculeatus,,Not assigned >  > Thaumastodermatidae,,Benthic,2--4,,Subtropical,,"Indian Ocean, Atlantic Ocean, Mediterranean and the Black Sea.  Climate:  Temperate.",?--?,0.1,,,,"Depth based on occurrence ; to be replaced with better reference. Sometimes found in medium and coarse sand, including Amphioxus sand, this species seems to prefer well-sorted fine sand, even if rich in detritus .",,Not Evaluated,,,,,,,,8,22.1,28.6,2721,,,,,,Low vulnerability (10 of 100),Unknown,ca
12,Acantholabrus palloni,Scale-rayed wrasse,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Labridae  (Wrasses),"Acantholabrus: Greek, akantha = thorn + Latin, gobius = gudgeon .","Marine, reef-associated",30--500,,Temperate,"62N--  1S, 32W--  11E","Eastern Atlantic:  Norway south to Cape Lopez, Gabon and including Madeira, Azores and the Canary Islands.  Also in the Mediterranean and Adriatic seas.",?--?,25,,,,"Adults inhabit coastal waters near rocky or sandy bottoms.  Feed on benthic invertebrates.  Solitary.  Oviparous, distinct pairing during breeding.  Males build dish shaped nests and guard the eggs.","Oviparous, distinct pairing during breeding.  Males build dish shaped nests and guard the eggs.",Least Concern (LC) ; Date assessed:  12 March 2008,,,,,,Dark spot on upper part of caudal peduncle and in the end of the spiny part of the dorsal fin,Harmless,7.1,9.9,15.1,356,1,0.01023,3.05,"Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).",,Low to moderate vulnerability (32 of 100) .,Very high,de
13,Acanthomysis longicornis,,Malacostraca > Mysida > Mysidae,,Demersal,2--100,,Temperate,,"Northeast Atlantic, Indo-Pacific and the Mediterranean Sea.",?--?,,,,,"This species lives close to the bottom . Members of the order Mysida are gonochoric.  Mating behavior:  Male inserts the penis into the marsupium and releases sperm; eggs are then released from the oviducts into the marsupium where fertilization occurs.  Life cycle:  Eggs are brooded in the marsupium and later hatch into miniature adults, no postlarva .","Members of the order Mysida are gonochoric.  Mating behavior:  Male inserts the penis into the marsupium and releases sperm; eggs are then released from the oviducts into the marsupium where fertilization occurs.  Life cycle:  Eggs are brooded in the marsupium and later hatch into miniature adults, no postlarva.",Not Evaluated,,,,,,,,8.4,11.6,18.8,636,,,,,,,Unknown,ca
14,Acar plicata,,Bivalvia > Arcoida > Arcidae,,Benthic,0--150,0--50,Tropical,,Indo-Pacific and the Mediterranean Sea.  Tropical and subtropical.,?--?,0.4,,,,"Found in low tidal to 130 m in crevices and stones; dead specimens to 274 m ; also intertidal on rocks and coral .  Commonly attached via strong byssal threads to the undersides of rock slabs and boulders in the lower eulittoral subzone and to dead coral and rocks in the shallow subtidal . Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,Harmless,21.2,27.4,29,1826,,,,,,Low vulnerability (10 of 100),,ca
15,Acipenser gueldenstaedtii,Danube sturgeon,Actinopterygii (ray-finned fishes) >  Acipenseriformes  (Sturgeons and paddlefishes) >  Acipenseridae  (Sturgeons) > Acipenserinae,"Acipenser: Latin, acipenser = sturgeon, 1853 ;gueldenstaedtii: Named for Johann Anton Gldenstdt (1745-1781).","Marine, freshwater, brackish, demersal, anadromous ",2--100,10--25,Temperate,"61N--  35N, 26E--  54E","Eurasia:  Black Sea, Sea of Azov and Caspian Sea basins. Introduced throughout Europe.",?--?,236,145,115,46,"Anadromous and freshwater populations exist.  At the sea, it occurs in shallow coastal and estuarine zones.  In freshwaters, it inhabits deep parts of large rivers with moderate to swift current.  Found mainly near the shore over sand and mud.  Usually solitary, but swarms when hibernating or during spawning migrations.  Occasionally forms schools.  Feeds on benthic molluscs, crustaceans and small fishes.  Spawns on stone or gravel bottom in large and deep rivers with strong current, 1-1.5 m/s.  Mainly propagated through artificial reproduction.","Under the name  A. g. colchicus . Spawns in rivers. Natural spawning not extensive, maintained chiefly by artificial propagation. Enters rivers from April to June (a few in autumn).",Critically Endangered (CR) (A2bcde); Date assessed:  24 October 2009,0,27--48,,16--35,," Under the name  A g colchicus   Lower lip not continuous, interrupted at center  Five rows of scutes:  dorsal 7-19, lateral 24-44 on each side, ventral 6-13 on each side, with lines of smaller stellate bony plates between the dorsal and ventral rows  Color of back olivaceous grey, flanks lighter, and belly white.",Harmless,10.7,13.8,15.9,32,0.5,0.00447,3.11,"Very Low, minimum population doubling time more than 14 years (tm=11; Fec = 26,000).",,Very high vulnerability (87 of 100) .,Unknown,de
16,Acipenser naccarii Bonaparte  1836,Adriatic sturgeon,Actinopterygii (ray-finned fishes) >  Acipenseriformes  (Sturgeons and paddlefishes) >  Acipenseridae  (Sturgeons) > Acipenserinae,"Acipenser: Latin, acipenser = sturgeon, 1853 .More on author: Bonaparte.","Marine, freshwater, brackish, demersal, anadromous ",10--40,,Temperate,"46N--  37N, 10E--  20E","Europe:  Adriatic Sea and its tributaries between Po (Italy) and Buna (Albania) drainages.  Recorded from Corfu; present in lowermost part of Adriatic rivers from Soca to Drin.  Records from Tyrrhenian slope of Italy, Spain and France are erroneous. In Appendix II of the Bern Convention (strictly protected fauna).  International trade restricted ( II, since 1.4.98;  Appendix II).  Only a single surviving naturally- spawning population at confluence of Ticino and Po; occasional records from Adriatic Sea and coastal rivers; spawning populations survived in Albania, but have possibly been extirpated.  Status of threat:  critically endangered.",?--?,200,,25,,"Occurs in the sea close to shore and estuaries, not entering pure marine waters.  In freshwater, it inhabits large deep rivers (Ref.   59043 ).  A long-lived species which is found mainly over sand and mud.  Feeds on bottom-living invertebrates and small fishes.  Reproduction takes place from May to July.  Is threatened by habitat destruction, pollution and overfishing.  The flesh is used for food but the eggs are not consumed as caviar.","Enters rivers from March to May, and presumably spawns then.","Critically Endangered (CR) (A2bcde; B2ab(i,ii,iii,iv,v)); Date assessed:  24 October 2009",0,36--48,,24--31,," Snout moderate, very broad and rounded at tip  Lower lip continuous, interrupted at center  Barbels nearer to tip of snout than to mouth and not touching it  Five rows of scutes, dorsal 10-14 (the middle ones deeper and usually larger than those at front), lateral 32-42 on each side, ventral 8-11 on each side, with no smaller plates between dorsal and lateral rows  Back is olivaceous brown, flanks lighter, belly white.",Harmless,14.7,17.4,18.2,12,0.5,0.00347,3.16,"Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).",,Very high vulnerability (86 of 100) .,Unknown,de
