card_id,purchase_date,city_id,category_1,category_2,category_3,month_lag,purchase_amount
C_ID_415bb3a509,3/11/2018 14:57,107,N,1,B,1,-0.55757375
C_ID_415bb3a509,3/19/2018 18:53,140,N,1,B,1,-0.56957993
C_ID_415bb3a509,4/26/2018 14:08,330,N,1,B,2,-0.55103721
C_ID_415bb3a509,3/7/2018 9:43,-1,Y,,B,1,-0.6719255
C_ID_ef55cf8d4b,3/22/2018 21:07,-1,Y,,B,1,-0.65990429
C_ID_ef55cf8d4b,4/2/2018 12:53,231,N,1,B,2,-0.63300684
C_ID_ef55cf8d4b,3/28/2018 19:50,69,N,1,B,1,5.26369692
C_ID_ef55cf8d4b,4/5/2018 8:06,231,N,1,B,2,-0.55378707
C_ID_ef55cf8d4b,4/7/2018 18:37,69,N,1,B,2,-0.59664268
C_ID_ef55cf8d4b,3/17/2018 18:10,69,N,1,B,1,-0.60719129
C_ID_ef55cf8d4b,3/31/2018 9:55,69,N,1,,1,4.45226529
C_ID_ef55cf8d4b,3/11/2018 12:53,69,N,1,B,1,-0.60595911
C_ID_ef55cf8d4b,3/14/2018 14:07,69,N,1,B,1,-0.63420896
C_ID_ef55cf8d4b,4/14/2018 9:27,69,N,1,B,2,-0.49205816
C_ID_ef55cf8d4b,3/23/2018 21:35,-1,Y,,B,1,-0.66553923
C_ID_ef55cf8d4b,4/18/2018 12:41,231,N,1,B,2,-0.64624519
C_ID_ef55cf8d4b,3/11/2018 12:38,69,N,1,B,1,-0.67177524
C_ID_ef55cf8d4b,4/22/2018 15:00,69,N,1,B,2,-0.69022779
C_ID_ef55cf8d4b,3/1/2018 14:26,231,N,1,C,1,0.75137067
C_ID_ef55cf8d4b,3/22/2018 9:57,231,N,1,B,1,-0.34329569
C_ID_ef55cf8d4b,3/20/2018 10:37,231,N,1,B,1,-0.65488544
C_ID_ef55cf8d4b,3/30/2018 20:05,-1,Y,,C,1,3.00972015
C_ID_ef55cf8d4b,4/6/2018 13:28,231,N,1,B,2,-0.43225264
C_ID_ef55cf8d4b,3/24/2018 14:58,69,N,1,C,1,-0.35772114
C_ID_ef55cf8d4b,3/3/2018 11:40,-1,Y,,C,1,2.12614623
C_ID_ef55cf8d4b,3/17/2018 12:32,69,N,1,B,1,-0.70483356
C_ID_241a01e9d9,4/22/2018 19:19,69,N,1,C,2,-0.4617046
C_ID_241a01e9d9,4/22/2018 19:34,188,N,1,C,2,-0.29476006
C_ID_a97720321f,3/2/2018 12:06,69,N,1,A,1,-0.20237706
C_ID_a97720321f,3/3/2018 12:14,69,N,1,A,1,0.75574338
C_ID_a97720321f,3/1/2018 16:28,69,N,1,A,1,-0.59679294
C_ID_a97720321f,4/13/2018 18:45,69,N,1,A,2,-0.52151012
C_ID_a97720321f,3/2/2018 9:30,69,N,1,A,1,-0.46140407
C_ID_a97720321f,4/13/2018 18:59,246,N,3,A,2,-0.46684367
C_ID_a97720321f,3/3/2018 11:58,69,N,1,A,1,-0.70361641
C_ID_a97720321f,3/2/2018 6:00,69,N,1,A,1,-0.44788021
C_ID_a97720321f,3/1/2018 16:11,69,N,1,A,1,-0.21046132
C_ID_a97720321f,3/1/2018 14:21,69,N,1,A,1,-0.71813203
C_ID_a97720321f,3/2/2018 10:11,69,N,1,A,1,-0.27627745
C_ID_a97720321f,3/1/2018 13:50,69,N,1,A,1,-0.66531384
C_ID_fb0875cd28,3/5/2018 15:16,271,N,1,A,1,-0.67177524
C_ID_fb0875cd28,3/15/2018 13:02,140,N,1,A,1,-0.64370571
C_ID_fb0875cd28,4/13/2018 8:20,271,N,1,A,2,-0.70783886
C_ID_fb0875cd28,4/19/2018 12:50,271,N,1,A,2,-0.71234682
C_ID_fb0875cd28,3/15/2018 8:16,140,N,1,A,1,-0.62489252
C_ID_fb0875cd28,4/4/2018 12:11,69,N,1,A,2,-0.69281235
C_ID_fb0875cd28,3/16/2018 8:32,331,N,1,A,1,-0.565087
C_ID_8c9ba46f19,12/24/2017 15:25,69,N,1,A,2,0.86255183
C_ID_8c9ba46f19,12/14/2017 21:22,4,N,2,A,2,-0.72286538
C_ID_8c9ba46f19,11/12/2017 0:00,17,N,4,A,1,1.05627362
C_ID_8c9ba46f19,11/12/2017 17:01,17,N,4,A,1,-0.36858531
C_ID_8c9ba46f19,12/19/2017 8:07,17,N,4,A,2,1.59722804
C_ID_8c9ba46f19,12/14/2017 11:39,4,N,2,A,2,-0.67177524
C_ID_8c9ba46f19,12/14/2017 0:40,4,N,2,A,2,-0.63871691
C_ID_8c9ba46f19,12/12/2017 4:42,4,N,2,A,2,-0.69281235
C_ID_8c9ba46f19,12/12/2017 9:26,17,N,4,A,2,-0.6266957
C_ID_8c9ba46f19,12/24/2017 12:19,17,N,4,A,2,0.37973498
C_ID_8c9ba46f19,12/14/2017 19:11,4,N,2,A,2,-0.63674844
C_ID_8c9ba46f19,12/16/2017 11:57,17,N,4,A,2,-0.61166919
C_ID_8c9ba46f19,11/22/2017 17:05,17,N,4,A,1,-0.65524607
C_ID_8c9ba46f19,12/30/2017 22:33,17,N,4,A,2,-0.04204418
C_ID_8c9ba46f19,11/15/2017 0:00,107,N,4,A,1,-0.52151012
C_ID_8c9ba46f19,12/28/2017 14:56,17,N,4,A,2,0.39008825
C_ID_8c9ba46f19,12/22/2017 15:47,17,N,4,A,2,1.4169099
C_ID_8c9ba46f19,11/14/2017 19:14,17,N,4,A,1,2.85945504
C_ID_8c9ba46f19,11/21/2017 21:36,17,N,4,A,1,-0.61752953
C_ID_8c9ba46f19,11/11/2017 0:00,17,N,4,A,1,-0.35337848
C_ID_8c9ba46f19,11/21/2017 21:33,17,N,4,A,1,-0.7206114
C_ID_8c9ba46f19,12/23/2017 23:05,17,N,4,A,2,-0.24772707
C_ID_8c9ba46f19,11/11/2017 0:00,17,N,4,A,1,-0.01361402
C_ID_8c9ba46f19,11/15/2017 0:00,107,N,4,A,1,-0.71986007
C_ID_8c9ba46f19,12/31/2017 15:18,17,N,4,A,2,-0.59716861
C_ID_8c9ba46f19,12/26/2017 11:54,17,N,4,A,2,-0.64855928
C_ID_8c9ba46f19,11/15/2017 18:29,107,N,4,A,1,-0.6883044
C_ID_8c9ba46f19,12/12/2017 8:07,17,N,4,A,2,-0.36319079
C_ID_8c9ba46f19,11/15/2017 0:00,107,N,4,A,1,-0.68229379
C_ID_7e64479fbb,2/7/2018 10:00,223,N,5,A,1,-0.53653663
C_ID_7e64479fbb,2/18/2018 19:15,223,N,5,A,1,-0.70874046
